sog,ship_heading,wind_speed,wind_direction,air_temperature,air_pressure,mean_draft,teu_str,td,tb,ship_breadth,reference_anemometer_height,anemometer_ht_design_draft,design_transverse_projected_area,type_stawind_vessel,super_structure_stawind_vessel,vessel_id,relative_wind_direction,wind_resistance
10.36,341.19,14.38969869,130.3136233,9.876666667,1022.093333,11.47,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,132.76127334854394,0.0
10.19,343.16,14.38969869,130.3136233,9.876666667,1022.093333,11.445,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.46803862979746,0.0
10.24,343.16,14.38969869,130.3136233,9.876666667,1022.093333,11.435,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.35462760297125,0.0
10.3,344.5,14.38969869,130.3136233,9.876666667,1022.093333,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,128.42421636096142,0.0
10.39,345.1,14.38969869,130.3136233,9.876666667,1022.093333,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,127.4174815871472,0.0
10.5,343.77,14.38969869,130.3136233,9.876666667,1022.093333,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,128.93600795744567,0.0
10.74,342.27,14.38969869,130.3136233,9.876666667,1022.093333,11.4,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.41421928855698,0.0
10.9,341.61,14.38969869,130.3136233,9.876666667,1022.093333,11.405,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.95120470957875,0.0
10.83,341.99,14.38969869,130.3136233,9.876666667,1022.093333,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.5895321845217,0.0
10.94,339.03,14.38969869,130.3136233,9.876666667,1022.093333,11.4,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,134.47954940414576,0.0
11.05,339.52,12.01144781,138.7530161,9.4,1020.46,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,144.4025979986307,0.0
11.0,335.47,12.01144781,138.7530161,9.4,1020.46,11.4,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,151.04841846678175,0.0
10.97,332.17,12.01144781,138.7530161,9.4,1020.46,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,156.59842255053127,0.0
11.29,330.43,12.01144781,138.7530161,9.4,1020.46,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,159.10033244234103,0.0
11.01,322.41,12.01144781,138.7530161,9.4,1020.46,11.42,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,173.50059312862334,0.0
11.1,323.0,12.01144781,138.7530161,9.4,1020.46,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.40694236566148,0.0
11.1,323.01,12.01144781,138.7530161,9.4,1020.46,11.41,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,172.38913026320046,0.0
11.1,321.88,12.01144781,138.7530161,9.4,1020.46,11.4,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,174.40419342823742,0.0
11.1,321.74,12.01144781,138.7530161,9.4,1020.46,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,174.65406185262924,0.0
11.1,323.31,12.01144781,138.7530161,9.4,1020.46,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,171.85411545894328,0.0
11.12,323.32,12.01144781,138.7530161,9.4,1020.46,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,171.82475045130752,0.0
11.2,321.7,12.01144781,138.7530161,9.4,1020.46,11.405,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,174.68816007514516,0.0
11.14,321.71,7.897398696,122.3731252,9.113333333,1020.606667,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,129.11626648166867,0.0
11.26,321.85,7.897398696,122.3731252,9.113333333,1020.606667,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,128.07189053915508,0.0
11.36,322.96,7.897398696,122.3731252,9.113333333,1020.606667,11.4,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,125.25130932362518,0.0
11.39,321.87,7.897398696,122.3731252,9.113333333,1020.606667,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,127.1842830927006,0.0
11.3,321.87,7.897398696,122.3731252,9.113333333,1020.606667,11.395,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,127.77325949714503,0.0
11.3,321.88,7.897398696,122.3731252,9.113333333,1020.606667,11.39,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,127.75000259400034,0.0
11.25,320.46,7.897398696,122.3731252,9.113333333,1020.606667,11.39,A,13.0,7.55,42.8,18.7,42.15,1403.003248,CC,LB,1004,130.96667096848273,0.0
